company_name,record_type,entity_type,stage,priority,status,days_since_last_contact,days_until_event,overdue_count,related_count,score,label
Smartants Group,followup,deal,P2,Medium,pending,0,0,0,1,22,Low
Pearlton,meeting,deal,P2,Medium,scheduled,25,0,2,3,32.17,High
Raghavendra T,meeting,lead,P2,Medium,scheduled,17,0,2,1,21.83,Low
print place,meeting,lead,P2,Medium,scheduled,27,0,5,3,33.5,High
Blue Vision,followup,deal,P2,Low,pending,13,0,0,2,23.17,Low
Aryan print & sign,meeting,deal,P2,Low,scheduled,12,0,1,4,27,Medium
APPAJI ENTERPRISES,meeting,lead,P2,High,scheduled,58,0,3,3,37.67,High
Ecumen Edge,meeting,lead,P2,Low,scheduled,29,0,5,0,24.83,Low
Spectrum Color Labs,meeting,lead,P2,Low,scheduled,4,0,0,4,18.67,Low
RIDDHI SIDDHI INDUSTRIES,meeting,deal,P2,High,scheduled,39,0,4,4,43.5,High
JK Signs & Firms,meeting,lead,P2,Medium,scheduled,42,0,2,0,24,Low
AL-SAMA,meeting,deal,P2,Medium,scheduled,28,0,3,3,34.67,High
Bhavani Visual Solutions,followup,deal,P2,Low,pending,9,0,2,4,30.5,Medium
Marvel Signs,followup,lead,P2,Medium,pending,31,0,1,5,32.17,High
TSA Globe,meeting,deal,P2,Low,scheduled,21,0,5,4,36.5,High
Sign Care,followup,deal,P2,Medium,pending,19,0,1,2,29.17,Medium
VK:a Architecture,followup,deal,P2,Medium,pending,10,0,2,5,35.67,High
P V Signs Pvt Ltd,meeting,deal,P2,Low,scheduled,11,0,2,5,30.83,Medium
Ansari Arts,meeting,deal,P2,Low,scheduled,4,0,2,2,23.67,Low
Shadan,followup,lead,P2,Low,pending,10,0,2,1,19.67,Low
GANDHARVA ARTS,meeting,deal,P2,Medium,scheduled,30,0,3,0,29,Medium
Fine Pro Multi Developers,meeting,lead,P2,High,scheduled,4,0,1,0,18.67,Low
SIGNEX VISUAL,followup,deal,P2,Low,pending,5,0,0,2,21.83,Low
Green tech (pune office),followup,deal,P2,Medium,pending,15,0,0,5,32.5,High
M/S STAR LITE,followup,lead,P2,Medium,pending,29,0,4,1,29.83,Medium
Signx India,meeting,deal,P2,High,scheduled,47,0,2,3,38.83,High
Inchworm Creational LLP,followup,lead,P2,Low,pending,14,0,2,1,20.33,Low
wybe spaces pvt.ltd,followup,lead,P2,Low,pending,48,0,4,3,34,High
DESIGN COG & SIGNAGES INDIA PVT LTD,meeting,deal,P2,Low,scheduled,2,0,1,3,23.33,Low
AGX RETAIL SOLUTIONS PRIVATE LIMITED,followup,deal,P2,Low,pending,10,0,1,2,24.67,Low
Lemon studio,followup,deal,P2,Medium,pending,23,0,4,5,41.83,High
Unilux LED Lighting Technology,meeting,lead,P2,Low,scheduled,11,0,0,3,17.83,Low
Mindmade,meeting,deal,P2,Low,scheduled,8,0,3,2,26.33,Medium
RHT Signs Pvt. Ltd.,meeting,lead,P2,Low,scheduled,11,0,0,2,15.83,Low
Supreme Creation,meeting,lead,P2,Low,scheduled,35,0,3,1,23.83,Low
Siddhakash digital world,followup,lead,P2,Medium,pending,49,0,5,2,37.17,High
Pioneer safety,followup,deal,P2,High,pending,1,0,1,3,31.17,Medium
Falcon,meeting,lead,P2,High,scheduled,39,0,3,5,38.5,High
JD Sign Service,meeting,deal,P2,Low,scheduled,5,0,1,4,25.83,Medium
SV Corporation,followup,deal,P2,Medium,pending,42,0,2,3,37,High
SK Digital Signs,meeting,deal,P2,Low,scheduled,0,0,2,1,21,Low
The Exclusive,followup,lead,P2,Low,pending,26,0,2,3,26.33,Medium
Elements signage,meeting,lead,P2,Medium,scheduled,15,0,1,4,25.5,Medium
AADHYA ENTERPRISES,followup,lead,P2,Medium,pending,46,0,1,2,28.67,Medium
Drishya Enterprises,meeting,deal,P2,Medium,scheduled,34,0,4,1,33.67,High
"Creative Sign Centre, Belgaum",followup,deal,P2,High,pending,35,0,3,2,38.83,High
Wonder Creation,followup,deal,P2,Low,pending,13,0,2,2,27.17,Medium
Sri venkatachalapathy construction P LTD,meeting,lead,P2,Medium,scheduled,36,0,1,2,25,Medium
Unique Traders,meeting,lead,P2,Low,scheduled,0,0,0,2,14,Low
SUMMIT ARTS,followup,lead,P2,Medium,pending,19,0,1,4,28.17,Medium
Deepak Advertising,followup,deal,P2,High,pending,35,0,2,2,36.83,High
SB Arts,followup,deal,P2,High,pending,1,0,2,2,31.17,Medium
AMRIT SALES CORPORATION,meeting,lead,P2,Low,scheduled,24,0,5,5,34,High
Balaji plastic,meeting,lead,P2,Medium,scheduled,11,0,3,3,26.83,Medium
MERAKI ENTERPRISE,followup,deal,P2,Medium,pending,16,0,2,4,34.67,High
Shree Graphics,followup,lead,P2,Medium,pending,29,0,0,2,23.83,Low
Test Mplanner,followup,deal,P2,High,pending,8,0,0,1,26.33,Medium
Sri Venkateswara arts,meeting,deal,P2,Medium,scheduled,22,0,4,2,33.67,High
ROHIT RADIUM,meeting,deal,P2,High,scheduled,35,0,3,3,38.83,High
Maa Laser art,meeting,lead,P2,Medium,scheduled,0,0,0,5,23,Low
GINNI ENTERPRISES,meeting,deal,P2,Medium,scheduled,60,0,3,2,38,High
Inovatiq,followup,lead,P2,High,pending,45,0,5,1,37.5,High
AMRIT SALES CORPORATION,meeting,deal,P2,Low,scheduled,15,0,2,3,27.5,Medium
Graphica,followup,deal,P2,Low,pending,8,0,3,2,28.33,Medium
LPFLEX Sign India Pvt. Ltd.,followup,lead,P2,Medium,pending,8,0,2,3,26.33,Medium
Magic Platinum Services,meeting,deal,P2,Medium,scheduled,41,0,3,1,32.83,High
Mission Xcellence Creative Solutions Pvt Ltd,followup,lead,P2,Low,pending,4,0,1,3,20.67,Low
Aura Signage & Ads,meeting,deal,P2,Low,scheduled,4,0,3,5,31.67,Medium
MERAKI ENTERPRISE,meeting,deal,P2,High,scheduled,2,0,1,2,27.33,Medium
Swaran Projectech Pvt. Ltd.,followup,deal,P2,High,pending,41,0,1,2,35.83,High
MUDRA DIGITAL,followup,lead,P2,Medium,pending,13,0,3,1,25.17,Medium
POSHDECOR,meeting,lead,P2,Medium,scheduled,0,0,2,3,23,Low
RANGTARA ARTS,followup,deal,P2,High,pending,53,0,4,2,43.83,High
Sakura Signs Pvt Ltd,meeting,lead,P2,High,scheduled,18,0,1,3,27,Medium
RIGHT MEDIA,followup,deal,P2,High,pending,42,0,4,3,44,High
G P Enterprises,meeting,deal,P2,Medium,scheduled,25,0,2,3,32.17,High
Ishaan graphics,followup,lead,P2,High,pending,47,0,3,3,37.83,High
GLOB SAFETECH SOLUTIONS LLP,meeting,deal,P2,Low,scheduled,5,0,2,2,23.83,Low
CHINTAMANI,meeting,deal,P2,Medium,scheduled,34,0,3,2,33.67,High
All Color Sign,meeting,lead,P2,Medium,scheduled,25,0,4,2,29.17,Medium
Direction Display,meeting,deal,P2,Medium,scheduled,60,0,4,2,40,High
A B C DISPLAY SYSTEMS,followup,lead,P2,Medium,pending,22,0,5,0,28.67,Medium
PaperPixel,meeting,deal,P2,Medium,scheduled,57,0,4,3,41.5,High
Joyti print & pack pvt ltd,meeting,lead,P2,High,scheduled,45,0,3,5,39.5,High
SIGNEX VISUAL,followup,lead,P2,Low,pending,10,0,4,3,27.67,Medium
PAWAR ARTS,meeting,deal,P2,Low,scheduled,50,0,3,3,35.33,High
NIBRAS CORPORATION,meeting,lead,P2,Medium,scheduled,3,0,0,0,13.5,Low
BRAND STORY,meeting,lead,P2,Medium,scheduled,60,0,2,2,31,Medium
Sanjay Art Gallery,followup,lead,P2,Medium,pending,27,0,2,5,33.5,High
Signads,meeting,lead,P2,High,scheduled,35,0,3,1,29.83,Medium
Parth Enterprise,followup,lead,P2,Medium,pending,45,0,2,3,32.5,High
CMYK Graphics Pvt Ltd,followup,deal,P2,High,pending,35,0,5,3,44.83,High
Moraya Graphics,meeting,deal,P2,High,scheduled,35,0,0,5,36.83,High
Sign star,followup,lead,P2,Low,pending,8,0,1,3,21.33,Low
Mmoser Associtaes,followup,lead,P2,Low,pending,43,0,3,1,27.17,Medium
Smart ads,meeting,lead,P2,Medium,scheduled,19,0,3,2,26.17,Medium
Environ Graphics,followup,lead,P2,Medium,pending,33,0,2,1,26.5,Medium
Amreesh Neon Pvt Ltd,followup,deal,P2,High,pending,1,0,0,2,27.17,Medium
Info sign,followup,lead,P2,Low,pending,8,0,1,3,21.33,Low
the  printwork co.,followup,deal,P2,Medium,pending,0,0,1,3,28,Medium
BRAND IT HYDERABAD,followup,deal,P2,Low,pending,0,0,1,3,25,Medium
SHREE SAI SERVICES,followup,lead,P2,High,pending,56,0,3,3,39.33,High
Shreenath Arts,followup,deal,P2,Low,pending,12,0,0,4,27,Medium
ELITE GRAPHICS,followup,deal,P2,High,pending,10,0,2,5,38.67,High
Sign-In,followup,lead,P2,Low,pending,12,0,1,1,18,Low
S N J ENTERPRISES,followup,lead,P2,Medium,pending,38,0,1,4,31.33,Medium
Advance Graphics,followup,lead,P2,Low,pending,39,0,2,3,28.5,Medium
Parallel Learning,followup,deal,P2,High,pending,55,0,3,2,42.17,High
The fix,meeting,deal,P2,Low,scheduled,6,0,0,1,18,Low
Unique Traders,meeting,deal,P2,Medium,scheduled,44,0,4,3,39.33,High
CADMAP,followup,deal,P2,High,pending,49,0,4,2,43.17,High
Vedanshee Safety and sign pvt ltd,meeting,deal,P2,High,scheduled,24,0,3,3,37,High
V sign graphics & Printings,followup,lead,P2,High,pending,48,0,4,1,36,High
PLUSHSIGN PRIVATE LIMITED,meeting,deal,P2,High,scheduled,60,0,4,1,41,High
Purva groupz,meeting,lead,P2,High,scheduled,8,0,3,1,25.33,Medium
Brigs espro,followup,lead,P2,Medium,pending,37,0,3,2,31.17,Medium
Studio9,followup,deal,P2,Medium,pending,35,0,4,3,39.83,High
PRINTOUCH,meeting,lead,P2,Medium,scheduled,45,0,4,3,34.5,High
SILVERLINE WORLD,meeting,deal,P2,Medium,scheduled,7,0,3,2,29.17,Medium
LORENZ IMAGING,followup,lead,P2,High,pending,51,0,3,2,36.5,High
N tech Sign& Displays,followup,deal,P2,Medium,pending,5,0,1,4,30.83,Medium
Maha Sai Enterprises,meeting,deal,P2,High,scheduled,10,0,1,5,34.67,High
INFINITY TRADING CO.,followup,deal,P2,Low,pending,35,0,2,2,30.83,Medium
Space and design,followup,deal,P2,Medium,pending,31,0,5,5,45.17,High
om sai graphics,meeting,deal,P2,Low,scheduled,6,0,2,0,20,Low
VEDANSH MARKETING,meeting,lead,P2,Low,scheduled,34,0,3,2,25.67,Medium
PRINT AND SIGNS LLP,meeting,deal,P2,High,scheduled,38,0,2,3,37.33,High
Aesthesy,meeting,deal,P2,High,scheduled,35,0,5,0,36.83,High
Fenix Advertising,meeting,deal,P2,Medium,scheduled,45,0,3,5,41.5,High
SIGN LANGUAGE STUDIO LLP,meeting,deal,P2,High,scheduled,35,0,4,2,38.83,High
Emagine India,followup,deal,P2,Medium,pending,7,0,0,4,29.17,Medium
P V Signs Pvt Ltd,meeting,deal,P2,Medium,scheduled,37,0,2,5,38.17,High
Bright Sign World,meeting,lead,P2,Low,scheduled,15,0,1,3,20.5,Low
Brand On Anything,followup,lead,P2,Medium,pending,11,0,2,3,26.83,Medium
Varaprasad Choudary,followup,deal,P2,Medium,pending,15,0,1,0,24.5,Low
Media Express,meeting,lead,P2,Low,scheduled,1,0,2,2,18.17,Low
New express media,meeting,lead,P2,Low,scheduled,12,0,2,4,24,Low
Kothari Imprint,followup,deal,P2,High,pending,25,0,4,4,43.17,High
Liftbyte Automation Private Limited,followup,deal,P2,High,pending,56,0,4,2,44.33,High
Maythird Design,followup,lead,P2,Low,pending,23,0,3,0,21.83,Low
Abhi creations,followup,deal,P2,Low,pending,11,0,1,0,20.83,Low
C R SOLUTIONS,meeting,deal,P2,High,scheduled,37,0,4,3,41.17,High
SPL Advertising Pvt Ltd,meeting,lead,P2,Medium,scheduled,29,0,3,5,33.83,High
Perfect Solutions and Stationery,followup,lead,P2,Low,pending,22,0,3,4,29.67,Medium
Jyoti display pvt ltd,meeting,lead,P2,Low,scheduled,6,0,2,5,25,Medium
WHITEBOARD ADVERTISER,followup,deal,P2,Medium,pending,14,0,3,3,34.33,High
Nor Traders private limited,meeting,deal,P2,High,scheduled,14,0,0,5,33.33,High
MUDRA DIGITAL,meeting,lead,P2,High,scheduled,35,0,3,5,37.83,High
RIDDHI ENTERPRISES - PUNE,meeting,lead,P2,High,scheduled,0,0,0,2,20,Low
CYAN ENTERPRISES,meeting,deal,P2,Low,scheduled,45,0,4,4,38.5,High
India Photos,followup,deal,P2,Medium,pending,37,0,3,2,36.17,High
CRAFTY CULTURE,meeting,lead,P2,Medium,scheduled,40,0,3,0,25.67,Medium
FIMA Signage,meeting,lead,P2,High,scheduled,40,0,3,3,34.67,High
SUMMIT ARTS,meeting,deal,P2,High,scheduled,3,0,0,4,29.5,Medium
Ammar arts,followup,lead,P2,High,pending,7,0,2,3,29.17,Medium
Samarthaadheesh enterprise,meeting,lead,P2,High,scheduled,50,0,2,4,36.33,High
RUHII ENTERPRISES,followup,deal,P2,Low,pending,10,0,1,1,22.67,Low
CHAYA ENTERPRISES,followup,deal,P2,Medium,pending,28,0,2,3,34.67,High
Anurodh Graphics,meeting,deal,P2,High,scheduled,44,0,3,4,42.33,High
Kashyap Flex,meeting,deal,P2,Low,scheduled,50,0,3,1,31.33,Medium
AMRIT SALES CORPORATION,followup,lead,P2,Low,pending,40,0,5,3,34.67,High
BHAVANI VISUAL SOLUTION,meeting,deal,P2,High,scheduled,52,0,3,0,35.67,High
Prabhat Sign Pvt Ltd (Mumbai),followup,lead,P2,Low,pending,13,0,2,3,24.17,Low
SuAn Signs,followup,deal,P2,Low,pending,11,0,2,4,30.83,Medium
Primage Signs India Pvt Ltd,meeting,deal,P2,High,scheduled,49,0,4,3,43.17,High
Gk global,followup,deal,P2,High,pending,35,0,3,3,40.83,High
ROYAL ARTS,meeting,lead,P2,High,scheduled,55,0,4,1,35.17,High
3 STAR BRANDING PVT. LTD.,meeting,lead,P2,Low,scheduled,5,0,1,5,22.83,Low
SHYAM FLEX PRINTERS,followup,deal,P2,Low,pending,10,0,1,1,22.67,Low
RUTUJA Arts,meeting,lead,P2,High,scheduled,60,0,4,4,42,High
Mettle Infrastructure,followup,lead,P2,Medium,pending,50,0,3,3,35.33,High
Mariam Sign Arts Pvt Ltd,meeting,deal,P2,High,scheduled,60,0,3,4,45,High
2A Concept LLP,meeting,deal,P2,Medium,scheduled,50,0,1,2,32.33,High
Varad Associates,followup,deal,P2,Medium,pending,23,0,4,4,39.83,High
Aditya Enterprise,followup,deal,P2,Low,pending,6,0,0,5,28,Medium
Adworld,followup,deal,P2,Low,pending,10,0,1,2,24.67,Low
ROHIT RADIUM,meeting,deal,P2,Low,scheduled,4,0,2,3,25.67,Medium
Apex Digital Innovative,meeting,lead,P2,Medium,scheduled,8,0,1,4,24.33,Low
Chanakya,followup,lead,P2,Medium,pending,40,0,2,5,35.67,High
Design Tech Signs & Display,followup,deal,P2,Medium,pending,12,0,2,0,26,Medium
Ad Well Media,meeting,deal,P2,Low,scheduled,8,0,1,2,22.33,Low
Aqua Services,followup,lead,P2,High,pending,10,0,3,2,29.67,Medium
Mahalakshmi Marketing,followup,deal,P2,Low,pending,8,0,2,4,30.33,Medium
Function Neon,meeting,deal,P2,Low,scheduled,46,0,3,0,28.67,Medium
India Photos,meeting,deal,P2,High,scheduled,10,0,3,3,34.67,High
Suman flex world,meeting,lead,P2,Low,scheduled,42,0,3,3,29,Medium
PURAN GRAPHICS,followup,lead,P2,High,pending,36,0,4,1,34,High
Himanshu Enterprises,meeting,deal,P2,Medium,scheduled,11,0,2,4,31.83,Medium
Lovely Image,meeting,deal,P2,Medium,scheduled,6,0,1,2,25,Medium
PEACOCK ADVERTISING,meeting,lead,P2,Medium,scheduled,30,0,3,0,24,Low
Signage and Design,followup,deal,P2,High,pending,3,0,2,4,35.5,High
Ved Signs,followup,deal,P2,Low,pending,7,0,2,2,26.17,Medium
Brain Point,meeting,deal,P2,Medium,scheduled,24,0,2,3,32,High
Wonder Creation,meeting,lead,P2,Medium,scheduled,43,0,5,4,38.17,High
SONIA CREATIONS,meeting,lead,P2,High,scheduled,47,0,3,2,33.83,High
A.K.Enterprise,followup,lead,P2,Medium,pending,35,0,3,0,26.83,Medium
Vedanshee Safety and sign pvt ltd,followup,deal,P2,Low,pending,11,0,2,2,26.83,Medium
AANSWR FASHION PRIVATE LIMITED,followup,deal,P2,Medium,pending,36,0,4,1,36,High
Instawings India pvt. Ltd,followup,deal,P2,Low,pending,6,0,0,1,20,Low
Adverto creation,meeting,lead,P2,Medium,scheduled,23,0,4,2,28.83,Medium
ISHWARI GRAPHICS,meeting,lead,P2,Low,scheduled,47,0,4,2,29.83,Medium
Infosigns,followup,lead,P2,High,pending,46,0,4,3,39.67,High
Sign-In,meeting,deal,P2,Low,scheduled,29,0,3,1,27.83,Medium
SINE O CRAFT,followup,lead,P2,Low,pending,6,0,2,3,23,Low
PRACHI CRAETION PUNE,meeting,deal,P2,Low,scheduled,0,0,1,4,25,Medium
Designworks,followup,deal,P2,Low,pending,36,0,2,1,29,Medium
Vishwabharathi Signs,meeting,lead,P2,Medium,scheduled,23,0,3,3,28.83,Medium
Sign Time Display Systems,followup,deal,P2,Low,pending,3,0,0,4,25.5,Medium
Taj Enterprises,meeting,deal,P2,Medium,scheduled,35,0,4,3,37.83,High
MEGHA PRINT XPRESS,meeting,deal,P2,High,scheduled,24,0,4,4,41,High
S4 Signs Solution,followup,deal,P2,Low,pending,44,0,3,4,38.33,High
Asia Enterprise,meeting,deal,P2,Low,scheduled,1,0,2,3,25.17,Medium
PaperPixel,meeting,deal,P2,Low,scheduled,7,0,1,1,20.17,Low
Pioneer safety,meeting,lead,P2,Low,scheduled,9,0,0,4,19.5,Low
FIXON SALES,followup,deal,P2,Medium,pending,31,0,3,2,35.17,High
Attitude,meeting,lead,P2,Low,scheduled,4,0,2,2,18.67,Low
Crayon,followup,deal,P2,Low,pending,10,0,0,2,22.67,Low
Maharaja display products business,meeting,deal,P2,High,scheduled,50,0,3,4,43.33,High
Shri Balaji Creation,meeting,lead,P2,Low,scheduled,6,0,0,1,13,Low
Nishitha ads,meeting,deal,P2,Medium,scheduled,13,0,2,1,26.17,Medium
ONE SOURCE ENTERPRISES,followup,deal,P2,Low,pending,0,0,0,1,19,Low
KASABELLA DESIGNS LLP,followup,lead,P2,Low,pending,3,0,1,3,20.5,Low
Inkwell Printing Services,followup,lead,P2,Medium,pending,5,0,1,0,17.83,Low
Lovely Crayon,meeting,lead,P2,Medium,scheduled,31,0,3,2,28.17,Medium
NCC Ltd - WTC,followup,deal,P2,High,pending,45,0,2,2,38.5,High
Rainbow Enterprises,meeting,lead,P2,Low,scheduled,6,0,0,3,17,Low
Rainbow Enterprises,followup,deal,P2,Medium,pending,25,0,2,1,30.17,Medium
sd arts,meeting,lead,P2,Low,scheduled,1,0,3,3,22.17,Low
Radiance Signs Pvt Ltd,meeting,lead,P2,Medium,scheduled,32,0,2,5,32.33,High
Instawings India pvt. Ltd,meeting,lead,P2,Low,scheduled,37,0,0,3,22.17,Low
Signage Solutions,meeting,deal,P2,Low,scheduled,10,0,1,2,22.67,Low
Trimuph Marine Services,meeting,lead,P2,Medium,scheduled,29,0,4,3,31.83,Medium
M/s Arham LED,meeting,lead,P2,Low,scheduled,9,0,2,2,19.5,Low
Metro Mark,meeting,lead,P2,High,scheduled,54,0,5,3,41,High
VISUAL STACK,followup,lead,P2,High,pending,60,0,4,2,40,High
Seema Enterprise,meeting,lead,P2,High,scheduled,50,0,4,2,36.33,High
PSJ Global Infotech & Enterprises,followup,lead,P2,High,pending,46,0,3,3,37.67,High
Lachhman Dass & Co.,followup,deal,P2,Low,pending,29,0,2,5,35.83,High
ACP Wala,followup,deal,P2,Medium,pending,45,0,2,5,41.5,High
ROOP ENTERPRISE,followup,deal,P2,Medium,pending,10,0,4,1,31.67,Medium
Super Arts & Sons,meeting,deal,P2,Low,scheduled,6,0,2,3,26,Medium
Avasiti Design,followup,deal,P2,Medium,pending,10,0,3,2,31.67,Medium
Real Plot Sign,meeting,lead,P2,Low,scheduled,58,0,4,5,37.67,High
MK RADIUM,followup,deal,P2,Low,pending,13,0,3,4,33.17,High
Pantone Media Solutions LLP,followup,lead,P2,Medium,pending,37,0,3,3,33.17,High
L M Technologies,meeting,lead,P2,Medium,scheduled,58,0,2,1,28.67,Medium
"SignTech Indian,",followup,deal,P2,Low,pending,42,0,2,4,36,High
Emagine India,meeting,deal,P2,Low,scheduled,33,0,4,3,34.5,High
J M Craft,followup,lead,P2,Low,pending,10,0,0,5,23.67,Low
Kumar Creation,meeting,deal,P2,Low,scheduled,6,0,2,4,28,Medium
RHT Signs Pvt. Ltd.,meeting,deal,P2,Medium,scheduled,40,0,2,1,30.67,Medium
NOVEL DESIGNER DISPLAY SYSTEM PVT LTD,followup,deal,P2,High,pending,4,0,1,3,31.67,Medium
TRIOMEC VENTURES PVT. LTD.,followup,lead,P2,Medium,pending,23,0,2,1,24.83,Low
VEDANSH MARKETING,followup,lead,P2,Medium,pending,10,0,4,1,26.67,Medium
Bright Sign World,meeting,deal,P2,Low,scheduled,6,0,1,1,20,Low
GO GREEN NURSERY PVT LTD,followup,deal,P2,High,pending,22,0,0,2,30.67,Medium
Jukuna Associates,meeting,lead,P2,Medium,scheduled,52,0,3,1,29.67,Medium
Aarti Arts,meeting,deal,P2,Medium,scheduled,20,0,5,5,41.33,High
Sign-In,meeting,deal,P2,Low,scheduled,4,0,0,1,17.67,Low
CHINTAMANI THERMAL TECHNOLOGIES PVT LTD,meeting,deal,P2,Medium,scheduled,43,0,5,3,41.17,High
RNR Project,followup,lead,P2,Medium,pending,40,0,1,4,31.67,Medium
Sameer Advertising,followup,lead,P2,Low,pending,44,0,4,3,33.33,High
PAWAR ARTS,meeting,lead,P2,Low,scheduled,16,0,3,4,26.67,Medium
Protector Fire and Safety,meeting,deal,P2,Low,scheduled,3,0,0,1,17.5,Low
Metamorph,followup,deal,P2,Low,pending,10,0,1,4,28.67,Medium
FUTURE SIGNAGES PRIVATE LIMITED,meeting,deal,P2,Medium,scheduled,10,0,2,1,25.67,Medium
V ART'S,meeting,deal,P2,Low,scheduled,6,0,1,0,18,Low
Classic Advertising,followup,deal,P2,High,pending,0,0,3,4,37,High
PRACHI CRAETION PUNE,followup,lead,P2,Medium,pending,33,0,2,3,30.5,Medium
AMSLER INDIA Pvt Ltd.,followup,deal,P2,Medium,pending,12,0,4,5,40,High
M/S Arpita Frame Gallery,followup,lead,P2,High,pending,58,0,2,2,35.67,High
Barazz Solution,meeting,deal,P2,High,scheduled,10,0,3,3,34.67,High
Sign-In,meeting,deal,P2,Medium,scheduled,41,0,2,2,32.83,High
Studio INTERIX,meeting,lead,P2,Medium,scheduled,1,0,2,4,25.17,Medium
CADMAP,followup,deal,P2,Low,pending,0,0,0,4,25,Medium
SK Radium designers,followup,deal,P2,High,pending,44,0,4,4,46.33,High
Spider Steel Spring Mfg. Co,followup,deal,P2,High,pending,56,0,5,1,44.33,High
WIZARD CREATIONS,meeting,deal,P2,Medium,scheduled,2,0,3,1,26.33,Medium
Shrinivas Shembkar,followup,deal,P2,Low,pending,7,0,2,3,28.17,Medium
Evergreen Media,followup,lead,P2,Low,pending,6,0,1,1,17,Low
Rukhshar art,followup,deal,P2,Medium,pending,37,0,3,5,42.17,High
RANGTARA ARTS,meeting,deal,P2,Low,scheduled,1,0,0,3,21.17,Low
GINNI ENTERPRISES,meeting,lead,P2,Low,scheduled,12,0,1,5,24,Low
Inkpot Graphics,meeting,lead,P2,Low,scheduled,39,0,3,3,28.5,Medium
Mahavir color lab,meeting,deal,P2,Low,scheduled,18,0,1,4,28,Medium
DD Enterprise,meeting,deal,P2,High,scheduled,57,0,3,2,40.5,High
Time Digital Prints,meeting,lead,P2,High,scheduled,23,0,2,2,27.83,Medium
The Rainbow Prints,meeting,deal,P2,Medium,scheduled,28,0,3,3,34.67,High
Smartants Group,meeting,lead,P2,Low,scheduled,10,0,2,2,19.67,Low
SOUNDARYA SIGNS,meeting,deal,P2,Low,scheduled,15,0,1,2,23.5,Low
Blue Pebble pvt ltd,meeting,deal,P2,Low,scheduled,0,0,0,1,17,Low
Shree Graphics,meeting,deal,P2,Medium,scheduled,9,0,2,2,27.5,Medium
YASHASHREE ENTERPRISES,meeting,deal,P2,Low,scheduled,18,0,3,3,30,Medium
Megha sign and glow,meeting,deal,P2,Low,scheduled,11,0,2,4,28.83,Medium
Madhu Copy Centre,followup,deal,P2,High,pending,10,0,1,1,28.67,Medium
